fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality;wine_type
0.241864102333581;0.655;-2.094714469629591;0.07669616519174044;0.6943005181347148;11.0;34.0;0.9978;3.51;0.56;9.4;5.0;red
0.6170992698725383;0.655;-2.094714469629591;0.11799410029498528;0.9222797927461138;25.0;67.0;0.9968;3.2;0.68;9.8;5.0;red
0.6170992698725383;0.655;-2.094714469629591;0.10029498525073749;0.8601036269430049;15.0;54.0;0.997;3.26;0.65;9.8;5.0;red
2.3525619197402183;0.28;1.8492800647258796;0.07669616519174044;0.6839378238341967;17.0;60.0;0.998;3.16;0.58;9.8;6.0;red
0.241864102333581;0.655;-2.094714469629591;0.07669616519174044;0.6943005181347148;11.0;34.0;0.9978;3.51;0.56;9.4;5.0;red
0.241864102333581;0.655;-2.094714469629591;0.07079646017699118;0.6839378238341967;13.0;40.0;0.9978;3.51;0.56;9.4;5.0;red
0.7109080617572783;0.6;-1.9430223721543805;0.058997050147492645;0.621761658031088;15.0;59.0;0.9964;3.3;0.46;9.4;5.0;red
0.14805531044884107;0.65;-2.094714469629591;0.03539823008849558;0.5803108808290154;15.0;21.0;0.9946;3.39;0.47;10.0;7.0;red
0.6170992698725383;0.58;-2.094714469629591;0.0825958702064897;0.6632124352331604;9.0;18.0;0.9968;3.36;0.57;9.5;7.0;red
0.33567289421832014;0.5;0.3323590899737752;0.3244837758112095;0.6424870466321241;17.0;102.0;0.9978;3.35;0.8;10.5;5.0;red
-0.41479744085959525;0.58;-1.79133027467917;0.07079646017699118;0.9119170984455957;15.0;65.0;0.9959;3.28;0.54;9.2;5.0;red
0.33567289421832014;0.5;0.3323590899737752;0.3244837758112095;0.6424870466321241;17.0;102.0;0.9978;3.35;0.8;10.5;5.0;red
-1.4466941515917295;0.615;-2.094714469629591;0.058997050147492645;0.8290155440414505;16.0;59.0;0.9943;3.58;0.52;9.9;5.0;red
0.6170992698725383;0.61;-0.19856325118946122;0.058997050147492645;0.9999999999999999;9.0;29.0;0.9974;3.26;0.855;9.1;5.0;red
1.6489959806046726;0.62;-1.0328697873031183;0.18879056047197645;0.9999999999999999;52.0;145.0;0.9986;3.16;0.855;9.2;5.0;red
1.6489959806046726;0.62;-0.957023738565513;0.19469026548672572;0.9999999999999999;51.0;148.0;0.9986;3.17;0.855;9.2;5.0;red
1.2737608130657145;0.28;1.8492800647258796;0.07079646017699118;0.8601036269430049;35.0;103.0;0.9969;3.3;0.75;10.5;7.0;red
0.8985256455267564;0.56;-0.27440929992706603;0.06489675516224191;0.9999999999999999;16.0;56.0;0.9968;3.11;0.855;9.3;5.0;red
0.241864102333581;0.59;-1.79133027467917;0.22418879056047203;0.7979274611398961;6.0;29.0;0.9974;3.38;0.5;9.0;4.0;red
0.7109080617572783;0.32;1.4700498210378532;0.07079646017699118;0.9999999999999999;17.0;56.0;0.9969;3.04;0.855;9.2;6.0;red
1.6489959806046726;0.22;1.2425116748250375;0.07079646017699118;0.704663212435233;29.0;60.0;0.9968;3.39;0.53;9.4;6.0;red
0.4294816861030592;0.39;-0.046871153714250685;0.10029498525073749;0.7564766839378236;23.0;71.0;0.9982;3.52;0.65;9.7;5.0;red
0.7109080617572783;0.43;-0.8053316410903026;0.058997050147492645;0.9999999999999999;10.0;37.0;0.9966;3.17;0.855;9.5;5.0;red
1.2737608130657145;0.49;-1.5637921284663547;0.10029498525073749;0.77720207253886;9.0;67.0;0.9968;3.17;0.53;9.4;5.0;red
-0.2271798570901162;0.4;-1.3362539822535389;0.10619469026548675;0.7875647668393781;21.0;40.0;0.9968;3.43;0.63;9.7;6.0;red
-0.7900326083985534;0.39;-1.1845618847783286;0.04719764011799411;0.7357512953367874;11.0;23.0;0.9955;3.34;0.56;9.3;5.0;red
0.4294816861030592;0.41;-0.5777934948774871;0.07079646017699118;0.7357512953367874;4.0;11.0;0.9962;3.28;0.59;9.5;5.0;red
0.7109080617572783;0.43;-0.8053316410903026;0.058997050147492645;0.9999999999999999;10.0;37.0;0.9966;3.17;0.855;9.5;5.0;red
-0.03956227332063799;0.655;-2.094714469629591;0.07669616519174044;0.7357512953367874;14.0;35.0;0.9972;3.47;0.55;9.4;5.0;red
0.6170992698725383;0.645;-2.094714469629591;0.0825958702064897;0.7564766839378236;8.0;16.0;0.9964;3.38;0.59;9.8;6.0;red
-0.41479744085959525;0.655;-1.8671763234167753;0.10619469026548675;0.8290155440414505;17.0;82.0;0.9958;3.35;0.54;10.1;5.0;red
-0.2271798570901162;0.655;-2.094714469629591;0.11209439528023601;0.9948186528497406;22.0;37.0;0.9966;3.46;0.57;10.6;6.0;red
